root,root_local,transition,from_limit,to_limit,delta_edge_count,delta_edges,delta_vertex_count,delta_vertices,delta_edge_hits,before_support,after_support,channels_admitted
12:29,29,12 -> 6,12,13,1,tuple_edge_1491,1,6:37,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:29,29,6 -> 9,23,24,1,tuple_edge_2326,1,9:29,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:29,29,9 -> 12,32,33,1,tuple_edge_2962,1,12:15,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:29,29,6/12 -> 12,4,5,1,tuple_edge_3081,1,12:33,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:30,30,12 -> 6,12,13,1,tuple_edge_1501,1,6:44,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:30,30,6 -> 9,23,24,1,tuple_edge_2333,1,9:30,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:30,30,9 -> 12,32,33,1,tuple_edge_2987,1,12:10,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:30,30,6/12 -> 12,4,5,1,tuple_edge_2997,1,12:8,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:31,31,12 -> 6,12,13,1,tuple_edge_1506,1,6:43,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:31,31,6 -> 9,23,24,1,tuple_edge_2338,1,9:31,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:31,31,9 -> 12,32,33,1,tuple_edge_2992,1,12:20,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:31,31,6/12 -> 12,4,5,1,tuple_edge_3093,1,12:37,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:32,32,12 -> 6,12,13,1,tuple_edge_1511,1,6:44,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:32,32,6 -> 9,23,24,1,tuple_edge_2343,1,9:32,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:32,32,9 -> 12,32,33,1,tuple_edge_3066,1,12:22,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:32,32,6/12 -> 12,4,5,1,tuple_edge_3097,1,12:36,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:33,33,12 -> 6,11,12,1,tuple_edge_1514,1,6:37,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:33,33,6 -> 9,23,24,1,tuple_edge_2346,1,9:33,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:33,33,9 -> 12,32,33,1,tuple_edge_2988,1,12:6,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
12:33,33,6/12 -> 12,4,5,1,tuple_edge_3075,1,12:27,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:34,34,12 -> 6,11,12,1,tuple_edge_1485,1,6:28,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:34,34,6 -> 9,23,24,1,tuple_edge_2348,1,9:34,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:34,34,9 -> 12,32,33,1,tuple_edge_2992,0,,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}",False
12:34,34,6/12 -> 12,4,5,1,tuple_edge_3059,1,12:20,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 2}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 3}}","{""slot_06_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 3}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 4}}",False
12:35,35,12 -> 6,11,12,1,tuple_edge_1519,1,6:46,slot_06_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 3, ""vertex_overlap"": 4}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 9}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 0, ""vertex_overlap"": 1}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 6}}",False
12:35,35,6 -> 9,23,24,1,tuple_edge_2351,1,9:35,,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 6}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 1, ""vertex_overlap"": 11}}",False
12:35,35,9 -> 12,32,33,1,tuple_edge_2962,1,12:15,slot_12_internal_carrier,"{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 10}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 12}}","{""slot_06_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 5}, ""slot_09_internal_carrier"": {""edge_overlap"": 4, ""vertex_overlap"": 7}, ""slot_12_internal_carrier"": {""edge_overlap"": 5, ""vertex_overlap"": 6}, ""slot_pair_06_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 11}, ""slot_pair_09_12_boundary_carrier"": {""edge_overlap"": 2, ""vertex_overlap"": 13}}",False
