cluster_kind,signature,count,frontier_indices,representative_frontier_index
canonical_support_graph,"((0, 1), (0, 5), (1, 10), (4, 10))",1,49,49
canonical_support_graph,"((0, 1), (0, 5), (1, 10), (5, 14))",1,69,69
canonical_support_graph,"((0, 1), (0, 5), (1, 10), (6, 10))",1,50,50
canonical_support_graph,"((0, 1), (0, 5), (1, 10), (9, 10))",1,51,51
canonical_support_graph,"((0, 1), (0, 5), (1, 2), (2, 3))",1,58,58
canonical_support_graph,"((0, 1), (0, 5), (1, 2), (2, 6))",1,38,38
canonical_support_graph,"((0, 1), (0, 5), (1, 4), (4, 10))",1,12,12
canonical_support_graph,"((0, 1), (0, 5), (1, 4), (4, 9))",1,26,26
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (3, 6))",1,46,46
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (5, 10))",1,60,60
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (5, 11))",1,70,70
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (5, 14))",1,53,53
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (6, 10))",1,48,48
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (6, 7))",1,47,47
canonical_support_graph,"((0, 1), (0, 5), (2, 11), (5, 11))",1,17,17
canonical_support_graph,"((0, 1), (0, 5), (3, 10), (5, 10))",1,14,14
canonical_support_graph,"((0, 1), (0, 5), (4, 10), (5, 10))",1,41,41
canonical_support_graph,"((0, 1), (0, 5), (5, 10), (10, 11))",1,16,16
canonical_support_graph,"((0, 1), (0, 5), (5, 10), (9, 10))",1,15,15
canonical_support_graph,"((0, 1), (0, 5), (5, 11), (10, 11))",1,19,19
canonical_support_graph,"((0, 1), (0, 5), (5, 11), (7, 11))",1,18,18
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (2, 11))",1,68,68
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (2, 5))",1,32,32
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (6, 10))",1,5,5
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (6, 12))",1,4,4
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (6, 14))",1,56,56
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (6, 7))",1,6,6
canonical_support_graph,"((0, 1), (0, 6), (1, 5), (2, 5))",1,30,30
canonical_support_graph,"((0, 1), (0, 6), (1, 5), (6, 14))",1,36,36
canonical_support_graph,"((0, 1), (0, 6), (3, 9), (6, 9))",1,28,28
canonical_support_graph,"((0, 1), (0, 6), (4, 8), (6, 8))",1,34,34
canonical_support_graph,"((0, 1), (0, 6), (5, 11), (6, 11))",1,45,45
canonical_support_graph,"((0, 1), (0, 6), (6, 9), (9, 10))",1,62,62
canonical_support_graph,"((0, 1), (0, 7), (1, 2), (2, 3))",1,57,57
canonical_support_graph,"((0, 1), (0, 7), (1, 2), (2, 6))",1,37,37
canonical_support_graph,"((0, 1), (0, 7), (1, 4), (4, 10))",1,11,11
canonical_support_graph,"((0, 1), (0, 7), (1, 4), (4, 9))",1,25,25
canonical_support_graph,"((0, 2), (0, 4), (1, 4), (2, 7))",1,20,20
canonical_support_graph,"((0, 2), (0, 4), (1, 4), (2, 8))",1,7,7
canonical_support_graph,"((0, 3), (0, 6), (3, 8), (6, 14))",1,24,24
canonical_support_graph,"((0, 4), (0, 6), (5, 11), (6, 11))",1,44,44
canonical_support_graph,"((0, 5), (0, 6), (1, 6), (1, 10))",1,71,71
canonical_support_graph,"((0, 5), (0, 6), (1, 6), (1, 11))",1,61,61
canonical_support_graph,"((0, 5), (0, 6), (2, 11), (5, 11))",1,43,43
canonical_support_graph,"((0, 5), (0, 6), (3, 10), (5, 10))",1,40,40
relative_to_C,1 10 0 5 13,1,40,40
relative_to_C,1 10 0 5 4,1,41,41
relative_to_C,1 10 0 5 6,1,42,42
relative_to_C,1 10 0 6 12,1,43,43
relative_to_C,1 10 0 6 2,1,44,44
relative_to_C,1 10 0 6 5,1,45,45
relative_to_C,1 2 0 10 9,1,55,55
relative_to_C,1 2 0 9 10,1,54,54
relative_to_C,10 1 0 11 14,1,30,30
relative_to_C,10 1 0 14 11,1,32,32
relative_to_C,10 1 0 14 3,1,33,33
relative_to_C,10 1 0 14 5,1,68,68
relative_to_C,10 1 0 14 9,1,31,31
relative_to_C,10 1 0 5 14,1,69,69
relative_to_C,10 14 0 1 11,1,38,38
relative_to_C,10 14 0 1 2,1,39,39
relative_to_C,10 14 0 1 9,1,37,37
relative_to_C,10 14 0 9 1,1,36,36
relative_to_C,10 5 0 1 6,1,60,60
relative_to_C,10 5 0 6 1,1,61,61
relative_to_C,11 10 0 5 13,1,14,14
relative_to_C,11 10 0 5 4,1,15,15
relative_to_C,11 10 0 5 6,1,16,16
relative_to_C,11 10 0 6 12,1,17,17
relative_to_C,11 10 0 6 2,1,18,18
relative_to_C,11 10 0 6 5,1,19,19
relative_to_C,11 5 0 1 6,1,70,70
relative_to_C,11 5 0 6 1,1,71,71
relative_to_C,12 3 0 10 9,1,29,29
relative_to_C,12 3 0 9 10,1,28,28
relative_to_C,13 14 0 1 11,1,58,58
relative_to_C,13 14 0 1 2,1,59,59
relative_to_C,13 14 0 1 9,1,57,57
relative_to_C,13 14 0 5 2,1,1,1
relative_to_C,13 14 0 5 6,1,2,2
relative_to_C,13 14 0 5 9,1,3,3
relative_to_C,13 14 0 9 1,1,56,56
relative_to_C,13 14 0 9 3,1,4,4
relative_to_C,13 14 0 9 5,1,5,5
relative_to_C,13 14 0 9 8,1,6,6
relative_to_C,13 2 0 10 9,1,35,35
relative_to_C,13 2 0 9 10,1,34,34
relative_to_C,2 1 0 11 14,1,64,64
relative_to_C,2 1 0 14 11,1,66,66
relative_to_C,2 1 0 14 3,1,67,67
relative_to_C,2 1 0 14 9,1,65,65
relative_to_C,4 14 0 5 2,1,46,46
relative_to_C,4 14 0 5 6,1,47,47
relative_to_C,4 14 0 5 9,1,48,48
relative_to_C,4 14 0 9 3,1,49,49
relative_to_C,4 14 0 9 5,1,50,50
relative_to_C,4 14 0 9 8,1,51,51
relative_to_C,4 3 0 10 9,1,63,63
relative_to_C,4 3 0 9 10,1,62,62
relative_to_C,6 1 0 14 5,1,52,52
relative_to_C,6 1 0 5 14,1,53,53
relative_to_C,6 12 0 1 11,1,12,12
relative_to_C,6 12 0 1 2,1,13,13
relative_to_C,6 12 0 1 9,1,11,11
relative_to_C,7 12 0 1 11,1,26,26
relative_to_C,7 12 0 1 2,1,27,27
relative_to_C,7 12 0 1 9,1,25,25
relative_to_C,7 12 0 9 1,1,24,24
relative_to_C,7 13 0 11 14,1,7,7
relative_to_C,7 13 0 14 11,1,9,9
relative_to_C,7 13 0 14 3,1,10,10
relative_to_C,7 13 0 14 9,1,8,8
relative_to_C,8 13 0 11 14,1,20,20
relative_to_C,8 13 0 14 11,1,22,22
relative_to_C,8 13 0 14 3,1,23,23
relative_to_C,8 13 0 14 9,1,21,21
relative_to_B,1 0 12 6 7,1,62,62
relative_to_B,1 0 12 7 6,1,63,63
relative_to_B,1 0 14 10 13,1,64,64
relative_to_B,1 0 14 13 10,1,66,66
relative_to_B,1 0 14 13 2,1,67,67
relative_to_B,1 0 14 13 8,1,65,65
relative_to_B,1 0 5 10 11,1,16,16
relative_to_B,1 0 5 10 3,1,14,14
relative_to_B,1 0 5 10 9,1,15,15
relative_to_B,1 0 5 11 10,1,19,19
relative_to_B,1 0 5 11 2,1,17,17
relative_to_B,1 0 5 11 7,1,18,18
relative_to_B,10 0 2 1 11,1,21,21
relative_to_B,10 0 2 1 13,1,22,22
relative_to_B,10 0 2 1 5,1,23,23
relative_to_B,10 0 2 13 1,1,20,20
relative_to_B,10 0 3 12 4,1,24,24
relative_to_B,10 0 3 4 12,1,25,25
relative_to_B,10 0 3 4 14,1,26,26
relative_to_B,10 0 3 4 5,1,27,27
relative_to_B,11 0 1 10 2,1,36,36
relative_to_B,11 0 1 2 10,1,37,37
relative_to_B,11 0 1 2 12,1,38,38
relative_to_B,11 0 1 2 3,1,39,39
relative_to_B,11 0 13 7 8,1,34,34
relative_to_B,11 0 13 8 7,1,35,35
relative_to_B,14 0 1 10 2,1,56,56
relative_to_B,14 0 1 10 4,1,4,4
relative_to_B,14 0 1 10 6,1,5,5
relative_to_B,14 0 1 10 9,1,6,6
relative_to_B,14 0 1 2 10,1,57,57
relative_to_B,14 0 1 2 12,1,58,58
relative_to_B,14 0 1 2 3,1,59,59
relative_to_B,14 0 1 6 10,1,3,3
relative_to_B,14 0 1 6 3,1,1,1
relative_to_B,14 0 1 6 7,1,2,2
relative_to_B,14 0 13 7 8,1,54,54
relative_to_B,14 0 13 8 7,1,55,55
relative_to_B,5 0 1 10 4,1,49,49
relative_to_B,5 0 1 10 6,1,50,50
relative_to_B,5 0 1 10 9,1,51,51
relative_to_B,5 0 1 6 10,1,48,48
relative_to_B,5 0 1 6 3,1,46,46
relative_to_B,5 0 1 6 7,1,47,47
relative_to_B,5 0 10 1 11,1,61,61
relative_to_B,5 0 10 11 1,1,60,60
relative_to_B,5 0 14 13 4,1,52,52
relative_to_B,5 0 14 4 13,1,53,53
relative_to_B,6 0 10 1 11,1,71,71
relative_to_B,6 0 10 11 1,1,70,70
relative_to_B,6 0 5 10 11,1,42,42
relative_to_B,6 0 5 10 3,1,40,40
relative_to_B,6 0 5 10 9,1,41,41
relative_to_B,6 0 5 11 10,1,45,45
relative_to_B,6 0 5 11 2,1,43,43
relative_to_B,6 0 5 11 7,1,44,44
relative_to_B,9 0 12 6 7,1,28,28
relative_to_B,9 0 12 7 6,1,29,29
relative_to_B,9 0 14 10 13,1,30,30
relative_to_B,9 0 14 13 10,1,32,32
relative_to_B,9 0 14 13 2,1,33,33
relative_to_B,9 0 14 13 4,1,68,68
relative_to_B,9 0 14 13 8,1,31,31
relative_to_B,9 0 14 4 13,1,69,69
relative_to_B,9 0 2 1 11,1,8,8
relative_to_B,9 0 2 1 13,1,9,9
relative_to_B,9 0 2 1 5,1,10,10
relative_to_B,9 0 2 13 1,1,7,7
relative_to_B,9 0 3 4 12,1,11,11
relative_to_B,9 0 3 4 14,1,12,12
relative_to_B,9 0 3 4 5,1,13,13
slot_delta_signature,1 1 10 1,1,2,2
slot_delta_signature,1 1 10 12,1,1,1
slot_delta_signature,1 1 10 4,1,3,3
slot_delta_signature,1 1 14 1,1,59,59
slot_delta_signature,1 1 14 10,1,58,58
slot_delta_signature,1 1 14 8,1,57,57
slot_delta_signature,1 1 6 11,1,5,5
slot_delta_signature,1 1 6 14,1,6,6
slot_delta_signature,1 1 6 7,1,56,56
slot_delta_signature,1 1 6 9,1,4,4
slot_delta_signature,1 13 5 14,1,55,55
slot_delta_signature,1 13 6 1,1,54,54
slot_delta_signature,10 1 10 1,1,47,47
slot_delta_signature,10 1 10 12,1,46,46
slot_delta_signature,10 1 10 4,1,48,48
slot_delta_signature,10 1 6 11,1,50,50
slot_delta_signature,10 1 6 14,1,51,51
slot_delta_signature,10 1 6 9,1,49,49
slot_delta_signature,10 10 14 5,1,60,60
slot_delta_signature,10 10 9 10,1,61,61
slot_delta_signature,10 14 1 6,1,52,52
slot_delta_signature,10 14 10 9,1,53,53
slot_delta_signature,14 12 5 14,1,63,63
slot_delta_signature,14 12 6 1,1,62,62
slot_delta_signature,14 14 1 10,1,65,65
slot_delta_signature,14 14 1 12,1,66,66
slot_delta_signature,14 14 1 4,1,67,67
slot_delta_signature,14 14 4 3,1,64,64
slot_delta_signature,14 5 10 1,1,16,16
slot_delta_signature,14 5 10 14,1,15,15
slot_delta_signature,14 5 10 8,1,14,14
slot_delta_signature,14 5 9 11,1,18,18
slot_delta_signature,14 5 9 14,1,19,19
slot_delta_signature,14 5 9 6,1,17,17
slot_delta_signature,4 1 14 1,1,39,39
slot_delta_signature,4 1 14 10,1,38,38
slot_delta_signature,4 1 14 8,1,37,37
slot_delta_signature,4 1 6 7,1,36,36
slot_delta_signature,4 13 5 14,1,35,35
slot_delta_signature,4 13 6 1,1,34,34
slot_delta_signature,5 2 1 10,1,21,21
slot_delta_signature,5 2 1 12,1,22,22
slot_delta_signature,5 2 1 4,1,23,23
slot_delta_signature,5 2 4 3,1,20,20
slot_delta_signature,5 3 14 1,1,27,27
slot_delta_signature,5 3 14 10,1,26,26
slot_delta_signature,5 3 14 8,1,25,25
slot_delta_signature,5 3 6 7,1,24,24
slot_delta_signature,6 12 5 14,1,29,29
slot_delta_signature,6 12 6 1,1,28,28
slot_delta_signature,6 14 1 10,1,31,31
slot_delta_signature,6 14 1 12,1,32,32
slot_delta_signature,6 14 1 4,1,33,33
slot_delta_signature,6 14 1 6,1,68,68
slot_delta_signature,6 14 10 9,1,69,69
slot_delta_signature,6 14 4 3,1,30,30
slot_delta_signature,6 2 1 10,1,8,8
slot_delta_signature,6 2 1 12,1,9,9
slot_delta_signature,6 2 1 4,1,10,10
slot_delta_signature,6 2 4 3,1,7,7
slot_delta_signature,6 3 14 1,1,13,13
slot_delta_signature,6 3 14 10,1,12,12
slot_delta_signature,6 3 14 8,1,11,11
slot_delta_signature,9 10 14 5,1,70,70
slot_delta_signature,9 10 9 10,1,71,71
slot_delta_signature,9 5 10 1,1,42,42
slot_delta_signature,9 5 10 14,1,41,41
slot_delta_signature,9 5 10 8,1,40,40
slot_delta_signature,9 5 9 11,1,44,44
slot_delta_signature,9 5 9 14,1,45,45
slot_delta_signature,9 5 9 6,1,43,43
edge_delta_signature,-1425 -2 311,1,61,61
edge_delta_signature,-1425 -4 313,1,60,60
edge_delta_signature,-1426 -2 311,1,71,71
edge_delta_signature,-1426 -4 313,1,70,70
edge_delta_signature,-226 -1085 1,1,64,64
edge_delta_signature,-226 -260 -1380,1,65,65
edge_delta_signature,-226 -260 -824,1,66,66
edge_delta_signature,-226 -260 3,1,67,67
edge_delta_signature,-276 -1388 -308,1,55,55
edge_delta_signature,-276 -1697 1,1,54,54
edge_delta_signature,-281 -1 -306,1,53,53
edge_delta_signature,-281 -312 5,1,52,52
edge_delta_signature,-282 -1 -306,1,69,69
edge_delta_signature,-282 -312 5,1,68,68
edge_delta_signature,-761 -1389 -308,1,63,63
edge_delta_signature,-761 -1698 1,1,62,62
edge_delta_signature,1186 -1473 3,1,36,36
edge_delta_signature,1186 125 -1030,1,38,38
edge_delta_signature,1186 125 -1595,1,37,37
edge_delta_signature,1186 125 222,1,39,39
edge_delta_signature,121 161 1384,1,47,47
edge_delta_signature,121 161 1385,1,48,48
edge_delta_signature,121 161 558,1,46,46
edge_delta_signature,121 162 1384,1,50,50
edge_delta_signature,121 162 2089,1,51,51
edge_delta_signature,121 162 838,1,49,49
edge_delta_signature,1372 -1085 1,1,30,30
edge_delta_signature,1372 -260 -1380,1,31,31
edge_delta_signature,1372 -260 -824,1,32,32
edge_delta_signature,1372 -260 3,1,33,33
edge_delta_signature,1504 -665 1,1,20,20
edge_delta_signature,1504 160 -1380,1,21,21
edge_delta_signature,1504 160 -824,1,22,22
edge_delta_signature,1504 160 3,1,23,23
edge_delta_signature,1505 -953 3,1,24,24
edge_delta_signature,1505 645 -1030,1,26,26
edge_delta_signature,1505 645 -1595,1,25,25
edge_delta_signature,1505 645 222,1,27,27
edge_delta_signature,155 1272 -563,1,40,40
edge_delta_signature,155 1272 1033,1,41,41
edge_delta_signature,155 1272 1254,1,42,42
edge_delta_signature,155 1273 -834,1,43,43
edge_delta_signature,155 1273 1253,1,45,45
edge_delta_signature,155 1273 548,1,44,44
edge_delta_signature,157 1272 -563,1,14,14
edge_delta_signature,157 1272 1033,1,15,15
edge_delta_signature,157 1272 1254,1,16,16
edge_delta_signature,157 1273 -834,1,17,17
edge_delta_signature,157 1273 1253,1,19,19
edge_delta_signature,157 1273 548,1,18,18
edge_delta_signature,1813 -665 1,1,7,7
edge_delta_signature,1813 160 -1380,1,8,8
edge_delta_signature,1813 160 -824,1,9,9
edge_delta_signature,1813 160 3,1,10,10
edge_delta_signature,1814 645 -1030,1,12,12
edge_delta_signature,1814 645 -1595,1,11,11
edge_delta_signature,1814 645 222,1,13,13
edge_delta_signature,361 -1473 3,1,56,56
edge_delta_signature,361 125 -1030,1,58,58
edge_delta_signature,361 125 -1595,1,57,57
edge_delta_signature,361 125 222,1,59,59
edge_delta_signature,432 161 1384,1,2,2
edge_delta_signature,432 161 1385,1,3,3
edge_delta_signature,432 161 558,1,1,1
edge_delta_signature,432 162 1384,1,5,5
edge_delta_signature,432 162 2089,1,6,6
edge_delta_signature,432 162 838,1,4,4
edge_delta_signature,549 -1388 -308,1,35,35
edge_delta_signature,549 -1697 1,1,34,34
edge_delta_signature,837 -1389 -308,1,29,29
edge_delta_signature,837 -1698 1,1,28,28
