stage,path,artifact_number,exact_selector,left_pair_03_09,right_exit_pair_06_13,seed_role_pairs,seed_tuple_spaced,role_ab_named,role_e_named,selector_named,permission_named,admission_named,provenance_named
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_carrier_incidence_packet_scout_002.v1.json,2,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_channel_admission_criteria_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_channel_admission_gate_audit_004.v1.json,4,false,true,true,false,false,false,false,false,true,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_conserved_packet_scout_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_cycle_event_contract_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,6,false,true,true,false,false,false,false,false,true,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_packet_successor_rule_scout_003.v1.json,3,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_permission_channel_admission_005.v1.json,5,false,true,true,false,false,false,false,false,true,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_selector_field_origin_audit_001.v1.json,1,false,true,true,false,false,false,false,true,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_return_cell_transition_length_origin_audit_001.v1.json,1,false,true,true,false,false,false,false,true,false,false,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_root_slot_12_zero_hit_fork_anatomy_001.v1.json,1,false,true,false,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_root_smoke_signature_census_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_answering_outside_fork_audit_001.v1.json,1,false,true,false,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_boundary_orientation_probe_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_explicit_half_turn_witness_search_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_fork_plateau_checkpoint_001.v1.json,1,false,true,false,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_from_limit_23_source_audit_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_half_turn_witness_probe_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,true
