selected,segment_role,from_vertex,to_vertex,from_slot,to_slot,from_limit,to_limit,anchor_limit,same_anchor_limit,target_endpoint_anchored,source_endpoint_anchored,source_limit_distance,target_limit_distance,total_limit_distance,edge_id,edge_index,selection_score
False,09_12,9:50,12:20,9,12,50,20,24,False,False,False,26,4,30,tuple_edge_2413,2413,1|1|26|30|2413
False,09_12,9:51,12:21,9,12,51,21,24,False,False,False,27,3,30,tuple_edge_2416,2416,1|1|27|30|2416
False,09_12,9:52,12:22,9,12,52,22,24,False,False,False,28,2,30,tuple_edge_2420,2420,1|1|28|30|2420
False,09_12,9:53,12:23,9,12,53,23,24,False,False,False,29,1,30,tuple_edge_2423,2423,1|1|29|30|2423
False,09_12,9:55,12:25,9,12,55,25,24,False,False,False,31,1,32,tuple_edge_2427,2427,1|1|31|32|2427
False,09_12,9:56,12:26,9,12,56,26,24,False,False,False,32,2,34,tuple_edge_2429,2429,1|1|32|34|2429
False,09_12,9:57,12:27,9,12,57,27,24,False,False,False,33,3,36,tuple_edge_2431,2431,1|1|33|36|2431
False,09_12,9:58,12:28,9,12,58,28,24,False,False,False,34,4,38,tuple_edge_2433,2433,1|1|34|38|2433
False,09_12,9:59,12:29,9,12,59,29,24,False,False,False,35,5,40,tuple_edge_2435,2435,1|1|35|40|2435
False,06_12,6:23,12:23,6,12,23,23,23,True,True,True,0,0,0,tuple_edge_1472,1472,0|0|0|0|1472
False,06_12,6:22,12:22,6,12,22,22,23,False,False,False,1,1,2,tuple_edge_1469,1469,1|1|1|2|1469
False,06_12,6:24,12:24,6,12,24,24,23,False,False,False,1,1,2,tuple_edge_1474,1474,1|1|1|2|1474
False,06_12,6:21,12:21,6,12,21,21,23,False,False,False,2,2,4,tuple_edge_1464,1464,1|1|2|4|1464
False,06_12,6:25,12:25,6,12,25,25,23,False,False,False,2,2,4,tuple_edge_1477,1477,1|1|2|4|1477
False,06_12,6:20,12:20,6,12,20,20,23,False,False,False,3,3,6,tuple_edge_1459,1459,1|1|3|6|1459
False,06_12,6:26,12:26,6,12,26,26,23,False,False,False,3,3,6,tuple_edge_1479,1479,1|1|3|6|1479
False,06_12,6:19,12:19,6,12,19,19,23,False,False,False,4,4,8,tuple_edge_1451,1451,1|1|4|8|1451
False,06_12,6:27,12:27,6,12,27,27,23,False,False,False,4,4,8,tuple_edge_1482,1482,1|1|4|8|1482
False,06_12,6:18,12:18,6,12,18,18,23,False,False,False,5,5,10,tuple_edge_1446,1446,1|1|5|10|1446
False,06_12,6:28,12:28,6,12,28,28,23,False,False,False,5,5,10,tuple_edge_1487,1487,1|1|5|10|1487
False,06_12,6:17,12:17,6,12,17,17,23,False,False,False,6,6,12,tuple_edge_1441,1441,1|1|6|12|1441
False,06_12,6:29,12:29,6,12,29,29,23,False,False,False,6,6,12,tuple_edge_1492,1492,1|1|6|12|1492
False,06_12,6:16,12:16,6,12,16,16,23,False,False,False,7,7,14,tuple_edge_1437,1437,1|1|7|14|1437
False,06_12,6:30,12:30,6,12,30,30,23,False,False,False,7,7,14,tuple_edge_1502,1502,1|1|7|14|1502
False,06_12,6:15,12:15,6,12,15,15,23,False,False,False,8,8,16,tuple_edge_1433,1433,1|1|8|16|1433
False,06_12,6:31,12:31,6,12,31,31,23,False,False,False,8,8,16,tuple_edge_1507,1507,1|1|8|16|1507
False,06_12,6:14,12:14,6,12,14,14,23,False,False,False,9,9,18,tuple_edge_1429,1429,1|1|9|18|1429
False,06_12,6:32,12:32,6,12,32,32,23,False,False,False,9,9,18,tuple_edge_1512,1512,1|1|9|18|1512
False,06_12,6:13,12:13,6,12,13,13,23,False,False,False,10,10,20,tuple_edge_1424,1424,1|1|10|20|1424
False,06_12,6:33,12:33,6,12,33,33,23,False,False,False,10,10,20,tuple_edge_1515,1515,1|1|10|20|1515
False,06_12,6:12,12:12,6,12,12,12,23,False,False,False,11,11,22,tuple_edge_1418,1418,1|1|11|22|1418
False,06_12,6:34,12:34,6,12,34,34,23,False,False,False,11,11,22,tuple_edge_1517,1517,1|1|11|22|1517
False,06_12,6:11,12:11,6,12,11,11,23,False,False,False,12,12,24,tuple_edge_1412,1412,1|1|12|24|1412
False,06_12,6:35,12:35,6,12,35,35,23,False,False,False,12,12,24,tuple_edge_1520,1520,1|1|12|24|1520
False,06_12,6:10,12:10,6,12,10,10,23,False,False,False,13,13,26,tuple_edge_1407,1407,1|1|13|26|1407
False,06_12,6:36,12:36,6,12,36,36,23,False,False,False,13,13,26,tuple_edge_1522,1522,1|1|13|26|1522
False,06_12,6:9,12:9,6,12,9,9,23,False,False,False,14,14,28,tuple_edge_1399,1399,1|1|14|28|1399
False,06_12,6:37,12:37,6,12,37,37,23,False,False,False,14,14,28,tuple_edge_1525,1525,1|1|14|28|1525
False,06_12,6:8,12:8,6,12,8,8,23,False,False,False,15,15,30,tuple_edge_1393,1393,1|1|15|30|1393
False,06_12,6:38,12:38,6,12,38,38,23,False,False,False,15,15,30,tuple_edge_1530,1530,1|1|15|30|1530
False,06_12,6:7,12:7,6,12,7,7,23,False,False,False,16,16,32,tuple_edge_1387,1387,1|1|16|32|1387
False,06_12,6:39,12:39,6,12,39,39,23,False,False,False,16,16,32,tuple_edge_1535,1535,1|1|16|32|1535
False,06_12,6:6,12:6,6,12,6,6,23,False,False,False,17,17,34,tuple_edge_1381,1381,1|1|17|34|1381
False,06_12,6:40,12:40,6,12,40,40,23,False,False,False,17,17,34,tuple_edge_1553,1553,1|1|17|34|1553
False,06_12,6:5,12:5,6,12,5,5,23,False,False,False,18,18,36,tuple_edge_1375,1375,1|1|18|36|1375
False,06_12,6:41,12:41,6,12,41,41,23,False,False,False,18,18,36,tuple_edge_1558,1558,1|1|18|36|1558
False,06_12,6:4,12:4,6,12,4,4,23,False,False,False,19,19,38,tuple_edge_1369,1369,1|1|19|38|1369
False,06_12,6:42,12:42,6,12,42,42,23,False,False,False,19,19,38,tuple_edge_1563,1563,1|1|19|38|1563
False,06_12,6:3,12:3,6,12,3,3,23,False,False,False,20,20,40,tuple_edge_1363,1363,1|1|20|40|1363
False,06_12,6:43,12:43,6,12,43,43,23,False,False,False,20,20,40,tuple_edge_1566,1566,1|1|20|40|1566
False,06_12,6:2,12:2,6,12,2,2,23,False,False,False,21,21,42,tuple_edge_1357,1357,1|1|21|42|1357
False,06_12,6:44,12:44,6,12,44,44,23,False,False,False,21,21,42,tuple_edge_1568,1568,1|1|21|42|1568
False,06_12,6:1,12:1,6,12,1,1,23,False,False,False,22,22,44,tuple_edge_1351,1351,1|1|22|44|1351
