path,field_count,structural_field_count,guarded_field_count,candidate_tuple,role,source_transport,carrier_incidence,endpoint_limit,root_anchor_boundary,phase_transition,support_package,computed_signature,result_or_label_guarded,identity_index,unknown,fields
labs/g900_observatory/artifacts/csv/g900_transport_census_phase_checkpoint_017_ladder.v1.csv,5,2,1,0,0,0,0,0,0,0,0,2,1,0,2,stage | input_count | output_count | status | claim
labs/g900_observatory/artifacts/csv/g900_transport_permission_sharpness_audit_021_pair_selectors.v1.csv,8,2,0,0,0,0,0,0,0,0,0,2,0,0,6,feature_a | feature_b | seed_value_a | seed_value_b | bucket_count | negative_bucket_count | exact_selects_seed | frontier_candidate_indices_in_bucket
labs/g900_observatory/artifacts/csv/g900_transport_selector_coupling_law_audit_024_candidate_laws.v1.csv,7,2,1,0,0,0,0,0,0,0,1,1,1,0,4,law_name | description | hit_count | coverage_fraction | exact_for_covisible_hits | sample_paths | law_status
labs/g900_observatory/artifacts/csv/g900_six_nine_return_home_receipt_ledger_068_route_holds.v1.csv,4,1,1,0,1,0,0,0,0,0,0,0,1,0,2,hold | role | status | load_bearing_value
labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_scaffold_013_search_space.v1.csv,4,1,0,0,0,0,0,0,0,0,0,1,0,0,3,space | count | description | claim
labs/g900_observatory/artifacts/csv/g900_transport_permission_frontier_checkpoint_025_next_forks.v1.csv,7,1,1,0,0,0,0,0,1,0,0,0,1,0,5,fork | name | description | risk | requires_m3 | admission_risk | recommended
labs/g900_observatory/artifacts/csv/g900_transport_permission_frontier_theorem_note_026_claims.v1.csv,5,1,1,0,0,0,0,0,0,0,1,0,1,0,3,claim_id | claim | support | status | boundary
labs/g900_observatory/artifacts/csv/g900_transport_permission_frontier_theorem_note_026_dependencies.v1.csv,4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,artifact | artifact_id | role | required
labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_obligations.v1.csv,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4,id | name | requirement | evidence | pass
labs/g900_observatory/artifacts/csv/g900_return_cell_channel_admission_gate_audit_004_obligations.v1.csv,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4,id | name | requirement | evidence | pass
labs/g900_observatory/artifacts/csv/g900_return_cell_information_flux_witness_010_components.v1.csv,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,component | color_metaphor | id | meaning | claim
labs/g900_observatory/artifacts/csv/g900_return_cell_one_step_information_transport_support_audit_006_obligations.v1.csv,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4,id | name | requirement | evidence | pass
labs/g900_observatory/artifacts/csv/g900_return_cell_permission_channel_admission_005_obligations.v1.csv,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4,id | name | requirement | evidence | pass
labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_scaffold_013_criteria.v1.csv,4,0,2,0,0,0,0,0,0,0,0,0,2,0,2,stage | criterion | pass_rule | admission_allowed
labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_summary.v1.csv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,metric | value | meaning
labs/g900_observatory/artifacts/csv/g900_transport_frontier_choice_apparatus_protocol_027_next_work.v1.csv,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4,artifact | name | purpose | admission_effect | recommended
labs/g900_observatory/artifacts/csv/g900_transport_frontier_choice_apparatus_protocol_027_rules.v1.csv,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,rule_id | rule | allowed | forbidden | reason
labs/g900_observatory/artifacts/csv/g900_transport_frontier_choice_apparatus_protocol_027_statuses.v1.csv,6,0,2,0,0,0,0,0,0,0,0,0,2,0,4,status | meaning | may_enter_discovery | may_enter_admission | requires | guardrail
labs/g900_observatory/artifacts/csv/g900_transport_frontier_choice_variable_inventory_028_next_tests.v1.csv,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4,test_id | name | purpose | ready | admission_effect
labs/g900_observatory/artifacts/csv/g900_transport_permission_frontier_checkpoint_025_rows.v1.csv,8,0,3,0,0,0,0,0,0,0,0,0,3,0,5,artifact | artifact_id | status | closed_result | frontier | permission_effect | admission_effect | keeper
labs/g900_observatory/artifacts/csv/g900_transport_permission_gate_family_filter_016_summary.v1.csv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,metric | value | meaning
