i,source_file,json_path,artifact,artifact_family,key,pair_key,source_endpoints,source_pair,source_root_slot,source_limit_transition,source_inside_failure_proxy,broken_ladder,phase_ladder_values,inside_moving_endpoint,outside_moving_endpoint,anchor,root
36,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[36],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
37,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[37],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
38,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[38],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
39,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[39],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
40,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[40],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
41,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[41],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
42,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[42],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
43,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[43],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
44,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[44],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
45,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[45],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
46,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[46],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
47,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[47],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
48,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[48],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
49,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[49],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
50,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[50],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
51,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[51],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
52,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[52],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
53,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[53],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
54,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[54],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
55,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[55],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
56,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[56],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
57,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[57],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
58,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[58],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
59,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[59],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
60,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[60],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
61,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[61],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
62,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[62],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
63,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[63],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
64,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[64],g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
