row_index,slot,local,root,edge_count,vertex_count,edge_hit_count,max_edge_overlap,max_vertex_overlap,entry_count,internal_entry_count,boundary_entry_count,max_pair,all_target_internal_5_4,all_cluster_carriers_present,slot_05_internal_carrier,slot_08_internal_carrier,slot_10_internal_carrier,slot_14_internal_carrier,slot_pair_04_05_boundary_carrier,slot_pair_05_10_boundary_carrier,slot_pair_05_14_boundary_carrier,is_target_surface,hit_signature_prefix_120,promoted_to_source_law,promoted_to_admission
851,14,10,14:10,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
852,14,11,14:11,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
853,14,12,14:12,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
854,14,13,14:13,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
855,14,14,14:14,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
856,14,15,14:15,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
857,14,16,14:16,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
858,14,17,14:17,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
859,14,18,14:18,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
860,14,19,14:19,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
861,14,20,14:20,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
862,14,21,14:21,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
863,14,22,14:22,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
864,14,23,14:23,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
865,14,24,14:24,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
866,14,25,14:25,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
867,14,26,14:26,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
868,14,27,14:27,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
869,14,28,14:28,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
870,14,29,14:29,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
871,14,30,14:30,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
872,14,31,14:31,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
873,14,32,14:32,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
874,14,33,14:33,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
