candidate_index,A,B,C,D,E,role_pairs,unique_hits,miss_reasons
77904,3,4,7,2,1,03_04 04_07 02_07 02_01,3,BC:missing_target_anchor_edge
77907,3,4,7,2,8,03_04 04_07 02_07 02_08,3,BC:missing_target_anchor_edge
77961,3,4,7,10,5,03_04 04_07 10_07 10_05,3,BC:missing_target_anchor_edge
77965,3,4,7,10,11,03_04 04_07 10_07 10_11,3,BC:missing_target_anchor_edge
77968,3,4,7,10,14,03_04 04_07 10_07 10_14,3,BC:missing_target_anchor_edge
77975,3,4,7,11,9,03_04 04_07 11_07 11_09,3,BC:missing_target_anchor_edge
77976,3,4,7,11,10,03_04 04_07 11_07 11_10,3,BC:missing_target_anchor_edge
77977,3,4,7,11,12,03_04 04_07 11_07 11_12,3,BC:missing_target_anchor_edge
78036,3,4,8,2,1,03_04 04_08 02_08 02_01,3,BC:missing_target_anchor_edge
78039,3,4,8,2,7,03_04 04_08 02_08 02_07,3,BC:missing_target_anchor_edge
78127,3,4,8,13,6,03_04 04_08 13_08 13_06,3,BC:missing_target_anchor_edge
78132,3,4,8,13,12,03_04 04_08 13_08 13_12,3,BC:missing_target_anchor_edge
78133,3,4,8,13,14,03_04 04_08 13_08 13_14,3,BC:missing_target_anchor_edge
78137,3,4,8,14,5,03_04 04_08 14_08 14_05,3,BC:missing_target_anchor_edge
78141,3,4,8,14,10,03_04 04_08 14_08 14_10,3,BC:missing_target_anchor_edge
78144,3,4,8,14,13,03_04 04_08 14_08 14_13,3,BC:missing_target_anchor_edge
78145,3,4,9,0,1,03_04 04_09 00_09 00_01,3,DC:missing_target_anchor_edge
78147,3,4,9,0,5,03_04 04_09 00_09 00_05,3,DC:missing_target_anchor_edge
78148,3,4,9,0,6,03_04 04_09 00_09 00_06,3,DC:missing_target_anchor_edge
78156,3,4,9,1,0,03_04 04_09 01_09 01_00,3,DC:missing_target_anchor_edge
78157,3,4,9,1,2,03_04 04_09 01_09 01_02,3,DC:missing_target_anchor_edge
78159,3,4,9,1,6,03_04 04_09 01_09 01_06,3,DC:missing_target_anchor_edge
