candidate_kind,source_rail_id,target_rail_id,reason,evidence,admitted_as_channel
boundary_to_slot_internal_incidence,slot_pair_12_13_boundary_carrier,slot_12_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=12_13 endpoint_slot=12,False
boundary_to_slot_internal_incidence,slot_pair_12_13_boundary_carrier,slot_13_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=12_13 endpoint_slot=13,False
boundary_to_slot_internal_incidence,slot_pair_13_14_boundary_carrier,slot_13_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=13_14 endpoint_slot=13,False
boundary_to_slot_internal_incidence,slot_pair_13_14_boundary_carrier,slot_14_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=13_14 endpoint_slot=14,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_00_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_01_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_02_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_03_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_04_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_05_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_06_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_07_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_08_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_09_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_10_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_11_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_12_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_13_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
