candidate_index,A,B,C,D,E,role_pairs,anchors,q_edge_ids,q_sources,q_targets,known_return_cell_slots,known_return_cell_edges
8581,0,6,1,2,3,00_06 06_01 02_01 02_03,23 24 23 24,tuple_edge_2173 tuple_edge_3433 tuple_edge_3388 tuple_edge_418,0:53 6:54 2:53 2:54,6:23 1:24 1:23 3:24,false,false
8584,0,6,1,2,7,00_06 06_01 02_01 02_07,23 24 23 24,tuple_edge_2173 tuple_edge_3433 tuple_edge_3388 tuple_edge_419,0:53 6:54 2:53 2:54,6:23 1:24 1:23 7:24,false,false
8585,0,6,1,2,8,00_06 06_01 02_01 02_08,23 24 23 24,tuple_edge_2173 tuple_edge_3433 tuple_edge_3388 tuple_edge_420,0:53 6:54 2:53 2:54,6:23 1:24 1:23 8:24,false,false
8625,0,6,1,7,2,00_06 06_01 07_01 07_02,23 24 23 24,tuple_edge_2173 tuple_edge_3433 tuple_edge_3390 tuple_edge_266,0:53 6:54 7:53 7:54,6:23 1:24 1:23 2:24,false,false
8631,0,6,1,7,10,00_06 06_01 07_01 07_10,23 24 23 24,tuple_edge_2173 tuple_edge_3433 tuple_edge_3390 tuple_edge_1760,0:53 6:54 7:53 7:24,6:23 1:24 1:23 10:24,false,false
8632,0,6,1,7,11,00_06 06_01 07_01 07_11,23 24 23 24,tuple_edge_2173 tuple_edge_3433 tuple_edge_3390 tuple_edge_1761,0:53 6:54 7:53 7:24,6:23 1:24 1:23 11:24,false,false
9980,0,6,12,9,3,00_06 06_12 09_12 09_03,23 24 23 24,tuple_edge_2173 tuple_edge_1474 tuple_edge_2423 tuple_edge_614,0:53 6:24 9:53 9:24,6:23 12:24 12:23 3:24,false,false
9981,0,6,12,9,4,00_06 06_12 09_12 09_04,23 24 23 24,tuple_edge_2173 tuple_edge_1474 tuple_edge_2423 tuple_edge_922,0:53 6:24 9:53 9:24,6:23 12:24 12:23 4:24,false,false
9986,0,6,12,9,11,00_06 06_12 09_12 09_11,23 24 23 24,tuple_edge_2173 tuple_edge_1474 tuple_edge_2423 tuple_edge_2424,0:53 6:24 9:53 9:54,6:23 12:24 12:23 11:24,false,false
10005,0,6,12,11,7,00_06 06_12 11_12 11_07,23 24 23 24,tuple_edge_2173 tuple_edge_1474 tuple_edge_2944 tuple_edge_1761,0:53 6:24 11:53 11:24,6:23 12:24 12:23 7:24,false,false
10007,0,6,12,11,9,00_06 06_12 11_12 11_09,23 24 23 24,tuple_edge_2173 tuple_edge_1474 tuple_edge_2944 tuple_edge_2308,0:53 6:24 11:53 11:54,6:23 12:24 12:23 9:24,false,false
10008,0,6,12,11,10,00_06 06_12 11_12 11_10,23 24 23 24,tuple_edge_2173 tuple_edge_1474 tuple_edge_2944 tuple_edge_2586,0:53 6:24 11:53 11:24,6:23 12:24 12:23 10:24,false,false
10017,0,6,12,13,8,00_06 06_12 13_12 13_08,23 24 23 24,tuple_edge_2173 tuple_edge_1474 tuple_edge_3070 tuple_edge_2040,0:53 6:24 13:23 13:24,6:23 12:24 12:23 8:24,false,false
10021,0,6,12,13,14,00_06 06_12 13_12 13_14,23 24 23 24,tuple_edge_2173 tuple_edge_1474 tuple_edge_3070 tuple_edge_3292,0:53 6:24 13:23 13:24,6:23 12:24 12:23 14:24,false,false
10100,0,6,13,8,2,00_06 06_13 08_13 08_02,23 24 23 24,tuple_edge_2173 tuple_edge_1475 tuple_edge_2038 tuple_edge_267,0:53 6:24 8:23 8:54,6:23 13:24 13:23 2:24,false,false
