path,artifact_number,construction_class,left_pair_03_09,right_exit_pair_06_13,exact_selector,role_ab_named,role_e_named,relation_claim_language,return_cell,channel,admission,permission,provenance,source,carrier,endpoint,root,phase,ladder,transition,package,support,anchor,fork
labs/g900_observatory/artifacts/json/g900_hit_forest_root_endpoint_rule_scope_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_ladder_nearest_anchor_condition_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,false,true,true,true,true,true,false,true,true,true
labs/g900_observatory/artifacts/json/g900_local_non_pair_identity_transition_length_law_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,true,true,true,false,false,true,true,true,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_p7_hinge_return_pocket_source_provenance_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,true,true,true,false,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_p7_local_return_cell_closure_law_audit_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,true,true,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_p7_local_return_cell_grammar_audit_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_p7_rhythm_partition_uniqueness_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_p7_root_endpoint_rule_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,true,true,false,true,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_p7_transition_weight_rhythm_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_pair_root_alignment_spectrum_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true
labs/g900_observatory/artifacts/json/g900_pair_root_triplet_03_09_root9_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,false,true,false,false,false,true,true,false,true
labs/g900_observatory/artifacts/json/g900_post_channel_admission_integrity_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,true,true,true,false,false,true,true,false,false,false,false,true,false,false,false,false
labs/g900_observatory/artifacts/json/g900_projection_exception_handles_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false
labs/g900_observatory/artifacts/json/g900_registry_admission_condition_03_09_vs_03_06_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,false,false,true,true,true,false,false,true,true,true
labs/g900_observatory/artifacts/json/g900_repeated_high_endpoint_nonclean_pocket_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_return_cell_carrier_incidence_packet_scout_002.v1.json,2,return_cell,true,true,false,false,false,false,true,true,true,false,false,true,true,true,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/json/g900_return_cell_channel_admission_criteria_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,true,false,false,true,true,true,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_return_cell_channel_admission_gate_audit_004.v1.json,4,return_cell,true,true,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/json/g900_return_cell_conserved_packet_scout_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false
labs/g900_observatory/artifacts/json/g900_return_cell_cycle_event_contract_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,6,return_cell,true,true,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,false,true,true,false
labs/g900_observatory/artifacts/json/g900_return_cell_packet_successor_rule_scout_003.v1.json,3,return_cell,true,true,false,false,false,false,true,true,true,false,false,true,true,true,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/json/g900_return_cell_permission_channel_admission_005.v1.json,5,return_cell,true,true,false,false,false,false,true,true,true,true,false,true,true,false,false,false,true,false,false,false,true,false
labs/g900_observatory/artifacts/json/g900_return_cell_selector_field_origin_audit_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,true,true,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_return_cell_transition_length_origin_audit_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,true,true,false,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_root_smoke_signature_census_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false
labs/g900_observatory/artifacts/json/g900_six_nine_boundary_orientation_probe_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_six_nine_from_limit_23_source_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,true,true,true,false,true,false,false,true,true,true,false,false
