root,root_local,label_at_30,dominant_label,dominant_label_count,distinct_label_count,switch_count,compressed_sequence,has_12_to_6,has_6_to_9,has_9_to_12,has_6_12_to_12,has_core_triangle,transition_positions,direct_6_9_boundary_carrier_exists,flanking_6_12_boundary_carrier_exists,flanking_9_12_boundary_carrier_exists,channels_admitted
12:13,13,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:14,14,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:15,15,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:16,16,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:17,17,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:18,18,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:19,19,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:20,20,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:21,21,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:22,22,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:23,23,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:24,24,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:25,25,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:26,26,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:27,27,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:28,28,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:29,29,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:30,30,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:31,31,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:32,32,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:33,33,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:34,34,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:35,35,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
