transition,from_label,to_label,transition_kind,pair_key,count,root_count,root_slot_counts,sample_roots,channels_admitted
7 -> 9,7,9,single_to_single,7/9,50,50,"{""11"": 50}",11:0 11:1 11:2 11:3 11:4 11:5 11:6 11:7 11:8 11:9 11:10 11:11 11:14 11:15 11:16 11:19 11:20 11:21 11:24 11:25 11:26 11:29 11:30 11:31,False
9 -> 11,9,11,single_to_single,9/11,50,50,"{""11"": 50}",11:0 11:1 11:2 11:3 11:4 11:5 11:6 11:7 11:8 11:9 11:10 11:11 11:14 11:15 11:16 11:19 11:20 11:21 11:24 11:25 11:26 11:29 11:30 11:31,False
0/1 -> 1,0/1,1,pair_to_single,0/1,49,49,"{""1"": 49}",1:0 1:1 1:2 1:3 1:4 1:5 1:6 1:7 1:8 1:9 1:10 1:11 1:12 1:13 1:14 1:15 1:16 1:17 1:18 1:19 1:20 1:21 1:22 1:23,False
4 -> 3,4,3,single_to_single,3/4,45,45,"{""4"": 45}",4:0 4:1 4:2 4:3 4:4 4:5 4:6 4:7 4:8 4:9 4:10 4:11 4:12 4:13 4:14 4:15 4:16 4:17 4:18 4:19 4:20 4:21 4:22 4:23,False
3 -> 4,3,4,single_to_single,3/4,44,44,"{""4"": 44}",4:0 4:1 4:2 4:3 4:4 4:5 4:6 4:7 4:8 4:9 4:10 4:11 4:12 4:13 4:14 4:15 4:16 4:17 4:18 4:19 4:20 4:21 4:22 4:23,False
5 -> 4,5,4,single_to_single,4/5,42,42,"{""5"": 42}",5:0 5:1 5:2 5:3 5:4 5:5 5:6 5:7 5:8 5:9 5:10 5:11 5:12 5:13 5:14 5:15 5:16 5:17 5:18 5:19 5:20 5:21 5:22 5:23,False
4 -> 0,4,0,single_to_single,0/4,41,41,"{""0"": 3, ""4"": 15, ""5"": 23}",0:3 0:31 0:41 4:30 4:31 4:40 4:41 4:42 4:43 4:44 4:45 4:46 4:47 4:48 4:49 4:50 4:51 4:52 5:30 5:31 5:32 5:40 5:41 5:42,False
3/4 -> 4,3/4,4,pair_to_single,3/4,41,41,"{""4"": 41}",4:0 4:1 4:2 4:3 4:4 4:5 4:6 4:7 4:8 4:9 4:10 4:11 4:12 4:13 4:14 4:15 4:16 4:17 4:18 4:19 4:20 4:21 4:22 4:23,False
0 -> 1,0,1,single_to_single,0/1,40,40,"{""1"": 40}",1:0 1:1 1:2 1:3 1:4 1:5 1:6 1:7 1:8 1:9 1:10 1:11 1:12 1:13 1:14 1:15 1:16 1:17 1:18 1:19 1:20 1:21 1:22 1:23,False
2 -> 1,2,1,single_to_single,1/2,40,40,"{""2"": 20, ""7"": 20}",2:10 2:11 2:12 2:13 2:14 2:15 2:16 2:17 2:18 2:19 2:20 2:21 2:22 2:23 2:24 2:25 2:26 2:27 2:28 2:29 7:10 7:11 7:12 7:13,False
