carrier,left_slot,right_slot,is_target_seam,global_row_count,slot_presence_count,dominant_value_pair,is_049_target_carrier,target_incidence_class,is_slot14_incident,selected_by_global_ge_180,selected_by_slot_presence_ge_3,rank_pair_local_endpoints,weak_at_endpoint_count,top3_at_endpoint_count,role_pair_050_quarantined,touches_slot14,touches_return_hub_050_quarantined,touches_anchor_052_quarantined,joins_slot14_to_return_hub_quarantined,endpoints_are_180_cut_slots_053_quarantined,is_common_cut_weak_053_quarantined,is_between_cut_slots_053_quarantined,promotion_status
slot_pair_05_10_boundary_carrier,05,10,false,256,5,12:3,true,inner_tie,false,true,true,1:3,0,2,anchor|anchor,false,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_05_14_boundary_carrier,05,14,false,196,4,7:1,true,inner_tie,true,true,true,1:4,1,1,anchor|anchor,true,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_06_12_boundary_carrier,06,12,false,194,5,10:2,false,,false,true,true,2:4,1,1,source_leaf|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_06_13_boundary_carrier,06,13,false,254,6,6:1,true,outer_return,false,true,true,1:3,0,2,source_leaf|source_return_hub,false,true,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_07_10_boundary_carrier,07,10,false,242,5,12:2,true,anchor_spoke,false,true,true,2:3,0,2,anchor|source_leaf,false,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_07_11_boundary_carrier,07,11,false,242,5,7:1,false,,false,true,true,1:4,1,1,source_leaf|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_08_13_boundary_carrier,08,13,false,180,3,9:2,true,anchor_spoke,false,true,true,2:3,0,2,anchor|source_return_hub,false,true,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_08_14_boundary_carrier,08,14,false,180,3,9:2,true,inner_tie,true,true,true,2:4,1,1,anchor|anchor,true,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_09_11_boundary_carrier,09,11,false,180,3,9:2,false,,false,true,true,3:4,1,1,omitted|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_09_12_boundary_carrier,09,12,false,240,4,9:2,false,,false,true,true,1:3,0,2,omitted|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_10_11_boundary_carrier,10,11,false,240,4,9:2,true,anchor_spoke,false,true,true,2:3,0,2,anchor|source_leaf,false,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_10_14_boundary_carrier,10,14,false,180,3,9:2,true,inner_tie,true,true,true,3:4,1,1,anchor|anchor,true,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_11_12_boundary_carrier,11,12,false,180,3,7:1,false,,false,true,true,3:4,1,1,source_leaf|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_12_13_boundary_carrier,12,13,false,180,3,6:1,true,outer_return,false,true,true,3:4,1,1,source_leaf|source_return_hub,false,true,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_13_14_boundary_carrier,13,14,true,120,2,6:1,true,anchor_spoke,true,false,false,4:4,2,0,anchor|source_return_hub,true,true,true,true,true,true,true,seam_feature_profile_not_source_law
